keyphrase,adjusted_scaled_mean_shap
colossal goddess,0.0032066396960130786
fluffy,0.003184858599396864
painted,0.0031579034799067
punk portrait,0.003147681253390492
pixar,0.0031236692695687
anime epic,0.00309923279167609
art thorough,0.003081762800486345
portrait male,0.003053637542572974
clouds covered,0.0030466058069667716
deviantart hyperrealistic,0.0029204375681380064
lamp,0.0028943723070284327
chris foss,0.002841349218382269
pink bonsai,0.0028141373428010267
giant digital,0.0028127861819678803
science,0.0027826261786148237
bonsai tree,0.002766329284261793
himalayan rocksalt,0.0027240890115163077
statue,0.002693754949480478
engine,0.0026791726846735957
picasso hair,0.0026521464900254124
pink flamingos,0.002632551915704819
painting chris,0.00262094502079685
painted pablo,0.002603701637957079
emo,0.0025967228496196902
azores islands,0.0025452880227709667
intricate royo,0.0025019880356797323
runway,0.002491545770021606
artstation galaxy,0.00246885133741599
goths,0.0024569695396883823
intricate hyper,0.002448099259613995
cloud fashion,0.002427902047321623
ufo ignoring,0.0023824020843572547
artistic painting,0.002375458652966356
photography awards,0.0023397608596820046
marble hourglass,0.0023102050581582626
candle volumetric,0.0023044435961142736
steampunk himalayan,0.002301312577056628
chris,0.0022083718646055566
volumetric lighting,0.002206566876137486
tracing artstation,0.002190640273884659
painting unreal,0.002177578092962051
divine pink,0.0021071749203483907
artistic,0.0020882397362572734
log houses,0.0020622520384648148
media collage,0.0020376014645452265
style contemporary,0.0020308106276133364
daedric armor,0.002028575341468449
steampunk butterfly,0.0019683879806433064
wizard,0.001967111418927599
rocksalt lamp,0.00195941520694366
dog,0.0019546601900648783
clouds girl,0.0019536025861034397
landscape colourful,0.001953339517308065
wearing cloud,0.0018458224175387495
houses built,0.001843355050041031
candle butterfly,0.0018257242180656425
anime colors,0.0017912746730106063
tall castle,0.0017814703431351098
frazetta fantasy,0.0017691223434999138
churches domes,0.0017310663703783546
illustrated,0.0016889215038669422
colors,0.0016664927315343718
flamingos,0.0016367396291201628
giant,0.0016141415435382903
vivec portrait,0.0015980894113586013
girl clouds,0.001553308771027496
wooden churches,0.0015248150798800619
imposing cyborg,0.001466048997596476
armor daedric,0.0014272282599280912
body shot,0.0014186820650616467
bull modeled,0.001370013441487482
kylie minogue,0.0013326935214300647
minogue,0.0013008552538835319
pixie cut,0.0012979270301799648
looking camera,0.0012414983331197821
cyborg bull,0.0012052378446688306
android cyborg,0.001204339837459528
cyborg body,0.0011547178134674457
avant garde,0.001103783823273195
bull looking,0.0010238709671226169
kylie,0.0010103564529602806
render hyperrealist,0.0008703326117411796
