keyphrase,adjusted_scaled_mean_shap
comic book,0.023561706667112575
details intricate,0.023547003650084244
painting lurid,0.022983812641474744
azores,0.02298067292263559
colors,0.022870311167433863
manga illustration,0.022856223083507553
alien planet,0.02283804292146788
science fiction,0.022731979162291763
dog,0.02257876018989893
oil,0.02240281425220032
houses,0.022396279294716562
pixie cut,0.022344386183337655
gonzalez,0.022258968032748492
landscape colourful,0.0222353852026989
film neuromancer,0.02223449291896535
avant garde,0.021699798888946065
atmospheric lighting,0.02152460642217307
art city,0.02141444621787434
futuristic,0.02127712718287202
gundam unreal,0.021006991770258127
art punk,0.020858063538167153
beautiful,0.020803920106772036
painted,0.020731317287113714
fiction,0.02066107438522762
fantasy style,0.020536001300872703
entries sony,0.02031156025756605
artstation concept,0.020220912061785314
beneath cherry,0.019995200501346847
scariest looking,0.01986514995073726
intricate royo,0.019813454232281643
painted pablo,0.019620565412336678
bosch,0.019213296691414927
butterfly volumetric,0.019182328023882318
castle enclosed,0.01900136219692468
headshot edwardian,0.018888498160984996
room,0.018800743003736832
digital render,0.018393955676047916
low clouds,0.018318286416480773
tracing artstation,0.018263146033911843
pikachu hannah,0.01826108122715209
modern,0.01813656816545113
puppy sitting,0.018101367301877596
contemporary art,0.01798376616874414
art hyperrealistic,0.017936383255675988
blinders photography,0.017909805054420677
spaceship,0.017879560492179227
sitting snowy,0.01783996006672855
dark uncanny,0.01772957753733191
steampunk himalayan,0.017471123505146898
punk portrait,0.01715813175753272
starmaker matte,0.017150731848255416
emo,0.01707522399527174
studio ghibli,0.01665390024170181
punk,0.01659861144980587
colossal,0.01653961625561888
barbarella,0.016427178985021815
collage canvas,0.01636888673073034
minogue barbarella,0.016264577710181773
marble hourglass,0.016230269842792105
snowy,0.015985238939730702
render hyperrealist,0.015948378999196135
painting unreal,0.01567556736127869
science,0.015487832989886327
bonsai tree,0.015265343787986814
punk art,0.015161695437357932
mixed media,0.015124959661808038
colossal goddess,0.01494569784201305
dunmer nerevarine,0.014896434113745633
klimt,0.014880529589119973
edwardian photograph,0.014643104890670729
daedric armor,0.014466582437275638
kylie,0.01445293630885667
realistic render,0.014428693448607805
media collage,0.014059500401179315
flamingos,0.014055295703173334
goths loitering,0.013426099002882136
anime colors,0.013331337548610399
armor daedric,0.013291420750522132
cyberpunk art,0.01289927511959318
kylie minogue,0.012871434903899158
himalayan,0.012864544617091113
cosmic,0.01284205685761192
vivec portrait,0.012760131244407507
detective pikachu,0.012669567799725114
bull modeled,0.012359050661700139
minogue,0.011546091279076664
goddess wearing,0.011164166628772244
himalayan rocksalt,0.011020497967392514
lamp,0.010672667063872626
alchemical creatures,0.01037010996173149
azores islands,0.010264549560723844
fiery alchemical,0.010160740800620335
artstation galaxy,0.00955940031380655
body shot,0.00911500544274452
imposing cyborg,0.009090748453182569
creatures surreal,0.008864154976801784
goddess creative,0.008822249117941904
android cyborg,0.008715680767183941
surreal dark,0.008364688418236541
oblivion skyrim,0.008273578480353047
cyborg bull,0.008267384137434877
looking camera,0.008068558301294144
rocksalt lamp,0.007964037664980557
bull looking,0.007865561546593897
vegetation,0.0075926950710409925
cyborg body,0.00758913033564588
thanos style,0.006813338285106142
greek man,0.005805298601755146
portrait ancient,0.004950190100312392
fine artistic,0.004477845030242838
mysterious ufo,0.003076538116669818
mysterious,0.002288662092737594
